TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,ORDINAL_POSITION,IS_PRIMARY_KEY,SOURCE
BPACustomBPATabakProd,ClientIntegrations,account_Id,int,,10,0,NO,,6,NO,tabak_mariadb
BPACustomBPATabakProd,Clients,Id,int,,10,0,NO,,1,YES,tabak_mariadb
BPACustomBPATabakProd,Clients,ClientName,longtext,4294967295,,,NO,,2,NO,tabak_mariadb
BPACustomBPATabakProd,Clients,ClientCode,varchar,255,,,NO,,3,NO,tabak_mariadb
BPACustomBPATabakProd,Clients,Address,longtext,4294967295,,,NO,,4,NO,tabak_mariadb
BPACustomBPATabakProd,Clients,PhoneNumber,varchar,15,,,YES,NULL,5,NO,tabak_mariadb
BPACustomBPATabakProd,Clients,email,longtext,4294967295,,,NO,,6,NO,tabak_mariadb
BPACustomBPATabakProd,Clients,isActive,tinyint,,3,0,NO,,7,NO,tabak_mariadb
BPACustomBPATabakProd,Clients,expectedTAT,int,,10,0,NO,,8,NO,tabak_mariadb
BPACustomBPATabakProd,Clients,batchTimeIntervalInMinutes,int,,10,0,NO,,9,NO,tabak_mariadb
BPACustomBPATabakProd,Clients,iP_ADDRESS,longtext,4294967295,,,NO,,10,NO,tabak_mariadb
BPACustomBPATabakProd,Clients,slA_InHours,int,,10,0,NO,,11,NO,tabak_mariadb
BPACustomBPATabakProd,Clients,batchNameFormat,longtext,4294967295,,,NO,,12,NO,tabak_mariadb
BPACustomBPATabakProd,Clients,outputStructureType,int,,10,0,NO,,13,NO,tabak_mariadb
BPACustomBPATabakProd,Clients,queueNamingConfiguration,int,,10,0,NO,,14,NO,tabak_mariadb
BPACustomBPATabakProd,Clients,AccountId,int,,10,0,NO,,15,NO,tabak_mariadb
BPACustomBPATabakProd,Clients,CreatedBy,int,,10,0,NO,,16,NO,tabak_mariadb
BPACustomBPATabakProd,Clients,UpdatedBy,int,,10,0,NO,,17,NO,tabak_mariadb
BPACustomBPATabakProd,Clients,CreatedDate,datetime,,,,NO,,18,NO,tabak_mariadb
BPACustomBPATabakProd,Clients,UpdatedDate,datetime,,,,NO,,19,NO,tabak_mariadb
BPACustomBPATabakProd,Clients,ProvanaClientId,int,,10,0,YES,NULL,20,NO,tabak_mariadb
BPACustomBPATabakProd,Clients,EzClaimAPIKey,longtext,4294967295,,,YES,NULL,21,NO,tabak_mariadb
BPACustomBPATabakProd,Countries,Id,int,,10,0,NO,,1,YES,tabak_mariadb
BPACustomBPATabakProd,Countries,name,varchar,100,,,YES,NULL,2,NO,tabak_mariadb
BPACustomBPATabakProd,Countries,code,varchar,10,,,YES,NULL,3,NO,tabak_mariadb
BPACustomBPATabakProd,Countries,phoneCountryCode,varchar,10,,,NO,,4,NO,tabak_mariadb
BPACustomBPATabakProd,Dashboards,Id,int,,10,0,NO,,1,YES,tabak_mariadb
BPACustomBPATabakProd,Dashboards,accountId,int,,10,0,NO,,2,NO,tabak_mariadb
BPACustomBPATabakProd,Dashboards,processCode,longtext,4294967295,,,NO,,3,NO,tabak_mariadb
BPACustomBPATabakProd,Dashboards,TotalFilesInQueue,int,,10,0,NO,,4,NO,tabak_mariadb
BPACustomBPATabakProd,Dashboards,TotalFilesIProcessing,int,,10,0,NO,,5,NO,tabak_mariadb
BPACustomBPATabakProd,Dashboards,TotalCompletedFiles,int,,10,0,NO,,6,NO,tabak_mariadb
BPACustomBPATabakProd,Dashboards,TotalPendingFiles,int,,10,0,NO,,7,NO,tabak_mariadb
BPACustomBPATabakProd,Dashboards,TotalExceptionFiles,int,,10,0,NO,,8,NO,tabak_mariadb
BPACustomBPATabakProd,Dashboards,SuccessRate,decimal,,5,2,NO,,9,NO,tabak_mariadb
BPACustomBPATabakProd,DocumentDetails,DocumentId,int,,10,0,NO,,1,YES,tabak_mariadb
BPACustomBPATabakProd,DocumentDetails,StateId,int,,10,0,NO,,2,NO,tabak_mariadb
BPACustomBPATabakProd,DocumentDetails,ClientID,int,,10,0,NO,,3,NO,tabak_mariadb
BPACustomBPATabakProd,DocumentDetails,DocumentNameWithExtension,longtext,4294967295,,,NO,,4,NO,tabak_mariadb
BPACustomBPATabakProd,DocumentDetails,PageCount,int,,10,0,NO,,5,NO,tabak_mariadb
BPACustomBPATabakProd,DocumentDetails,ExtractedPage,longtext,4294967295,,,NO,,6,NO,tabak_mariadb
BPACustomBPATabakProd,DocumentDetails,DocumentType,longtext,4294967295,,,NO,,7,NO,tabak_mariadb
BPACustomBPATabakProd,DocumentDetails,TransactionId,longtext,4294967295,,,NO,,8,NO,tabak_mariadb
BPACustomBPATabakProd,DocumentDetails,ServiceId,int,,10,0,NO,,9,NO,tabak_mariadb
BPACustomBPATabakProd,DocumentDetails,ExtractedDocumentBase64,longtext,4294967295,,,NO,,10,NO,tabak_mariadb
BPACustomBPATabakProd,DocumentDetails,ClientCode,longtext,4294967295,,,NO,,11,NO,tabak_mariadb
